Trang,STT,Nội dung huấn luyện,Giáo viên,Địa điểm,Thời gian tổng,1,2,3,6,7,8,9,10,13,14,15,16,17,20,21,22,23,24,27,28,29,30,31
1,"1","Khoa học xã hội và nhân văn","K.KHXH&NV","","12","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Đường lối phát triển kinh tế xã hội trong thời kỳ đẩy mạnh CNH, HĐH hội nhập quốc tế","Chính","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
1,"-","Tăng cường quốc phòng, an ninh bảo vệ Tổ quốc Việt Nam XHCN trong giai đoạn mới","Nam","""","02","","","","","2","","","","","","","","","","","","","","","","","",""
1,"-","Chính sách dân tộc, tôn giáo của Đảng và Nhà nước ta","Hùng","""","02","","","","","","","","","","2","","","","","","","","","","","","",""
1,"-","TL 1: Con đường đi lên chủ nghĩa xã hội của Đảng và Nhà nước ta là sự lựa chọn duy nhất đúng đắn, sáng tạo","Lợi","""","02","","","","","","","","","","","","","","2","","","","","","","","",""
1,"-","Kiểm tra phần 1(viết)","K.KHXH&NV","""","02","","","","","","","","","","","","","","","2","","","","","","","",""
1,"-","Xây dựng tiểu đội vững mạnh toàn diện, hoàn thành xuất sắc nhiệm vụ được giao","Huấn","""","02","","","","","","","","","","","","","","","K","","","","","2","","",""
1,"2","Quân sự chung","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"a","Điều lệnh","","","06","","","","","","","","","","","","","","","","","","","","","","",""
1,"*","Những quy định về chế độ chính quy","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Luyện tập: Thực hành chỉ huy tiểu đội thực hiện các chế độ chính quy trong ngày, tuần","ct","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
1,"*","Huấn luyện Điều lệnh đội ngũ","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Đội ngũ từng người không có súng","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"+","Thực hành hướng dẫn, duy trì tiểu đội luyện tập động tác đi đều chuyển thành đi nghiêm nhìn bên phải (trái) chào và thôi chào","bt","Sân d4","02","","","","","","","2","","","","","","","","","","","","","","","",""
1,"*","Huấn luyện tổ chức, phương pháp","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Tổ chức và phương pháp hướng dẫn duy trì tiểu đội ôn luyện ĐLQLBĐ; thực hiện các chế độ chính quy","ct","GĐ VT","02","","","","","2","","","","","","","","","","","","","","","","","",""
2,"b","Địa hình quân sự","K.BCHT","","08","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Ký hiệu địa vật và ký hiệu dáng đất trên bản đồ địa hình","Triển","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
2,"-","Phương tiện địa bàn, ống nhòm, thước chỉ huy","""","""","02","","","","","2","","","","","","","","","","","","","","","","","",""
2,"-","Định hướng bản đồ, xác định điểm đứng","""","ĐC 62,6","02","","","","","","","","","","","2","","","","","","","","","","","",""
2,"-","Giới thiệu phương pháp cách vận động góc phương vị","""","ĐV- ĐC62,6","02","","","","","","","","","","","","","","","","","","","","","2","",""
2,"c","Kỹ thuật chiến đấu bộ binh","ĐV, BCHT","","20","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Huấn luyện, kiểm tra bắn súng tiểu liên AK bài 2 nâng cao: Bắn mục tiêu ẩn hiện, vận động ở địa hình đồng bằng, trung du ban ngày có bắn đạn thật","Pct","T. Bắn","20","","","","","","2","","2","","","","4","","","","","","","4","2","6","",""
2,"d","Chiến thuật BCHT","Đơn vị","","08","","","","","","","","","","","","","","","","","","","TB","B","","",""
2,"-","Tổ bộ binh đánh địch trong hào có nắp, không có nắp","bt","ĐC71,9","04","","","","","","","","","2","","2","","","","","","","","","","","",""
2,"-","Tổ bộ binh làm một số nhiệm vụ khác trong chiến đấu","""","""","02","","","","","","","","","","","","2","","","","","","","","","","",""
2,"3","Chuyên ngành","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"a","Chuyên ngành súng cối 82 mm","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"+","Trinh sát pháo binh","K.BC","","06","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Hiểu biết chung về trinh sát pháo binh","Cử","d4,ĐC62,6","02","2","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Chỉ nhận mục tiêu","""","ĐC 62,6","04","4","","","","","","","","","","","","","","","","","","","","","",""
2,"+","Thông tin","K.BC","","06","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Hiểu biết chung về thông tin vô tuyến điện, hữu tuyến điện (học cùng CN Cối 100 mm)","Chinh","d4","02","2","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Quy tắc chuyển nhận khẩu lệnh bắn","Cử","d4,ĐC62,6","04","","","4","","","","","","","","","","","","","","","","","","","",""
2,"+","Ôn, kiểm tra kiến thức cơ sở","Tổ CĐ","""","12","","","Ô","","Ô","K","","","","","","","","","","","","","","","","",""
3,"+","Binh khí","K.BC","","56","","","","","","","","","","","","","","","","","","","","","","",""
3,"-","Hiểu biết chung về cối 82mm","Cử","d4,ĐC62,6","02","","","","2","","","","","","","","","","","","","","","","","","",""
3,"-","Cấu tạo, tác dụng cối, bộ phận phát hỏa cối 82mm","""","""","04","","","","4","","","","","","","","","","","","","","","","","","",""
3,"-","Cấu tạo, tác dụng giá súng, bàn đế","""","""","04","","","","","","","4","","","","","","","","","","","","","","","",""
3,"-","Cấu tạo, sử dụng bộ phận ngắm cối 82 mm","""","""","04","","","","","","","2","2","","","","","","","","","","","","","","",""
3,"-","Kiểm tra hiệu chỉnh bộ phận ngắm","""","""","04","","","","","","","","4","","","","","","","","","","","","","","",""
3,"-","Phương pháp duy trì tiểu đội luyện tập kiểm tra hiệu chỉnh thước góc bắn, bộ phận ngắm","""","""","04","","","","","","","","","4","","","","","","","","","","","","","",""
3,"-","Đạn, ngòi, liều cối 82mm","""","""","06","","","","","","","","","","6","","","","","","","","","","","","",""
3,"-","PP duy trì tiểu đội luyện tập chuyên ngành binh khí","""","""","06","","","","","","","","","","","2","2","2","","","","","","","","","",""
3,"-","Phương pháp bảo quản, bảo dưỡng súng cối","""","""","06","","","","","","","","","","","","","6","","","","","","","","","",""
3,"-","Ôn","""","""","10","","","","","","","","","","","","","","4","6","","","","","","","",""
3,"-","Thi","Tổ CĐ","d4","06","","","","","","","","","","","","","","","","6","","","","","","",""
3,"*","Thao tác","K.BC","","38","","","","","","","","","","","","","","","","T","","","","","","",""
3,"-","Biên chế, chức trách, trang bị, đội hình khẩu đội","Cử","d4,ĐC62,6","08","","","","","","","","","","","","","","","","2","6","","","","","",""
3,"-","Dùng, thu súng","""","ĐC62,6","10","","","","","","","","","","","","","","","","","","8","","","2","",""
3,"-","Phương pháp duy trì khẩu đội luyện tập dùng, thu pháo","""","""","04","","","","","","","","","","","","","","","","","","","","","4","",""
3,"-","Ngắm, đánh dấu, nạp đạn bắn","""","""","14","","","","","","","","","","","","","","","","","","","","","","8","6"
3,"-","Phương pháp duy trì tiểu đội luyện tập ngắm, đánh dấu, nạp đạn, bắn","""","""","`2/4","","","","","","","","","","","","","","","","","","","","","","","2"
3,"b","Chuyên ngành súng cối 100 mm","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"*","Kỹ thuật chuyên ngành","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"+","Trinh sát pháo binh","K.BC","","04","","","","","","","","","","","","","","","","","","","","","","",""
3,"-","Chỉ nhận mục tiêu","Hiệp","d4,ĐC62,6","04","4","","","","","","","","","","","","","","","","","","","","","",""
3,"+","Thông tin","K.BC","","06","","","","","","","","","","","","","","","","","","","","","","",""
4,"-","Hiểu biết chung về thông tin vô tuyến điện, hữu tuyến điện (học cùng CN Cối 82 mm)","Chinh","d4","02","2","","","","","","","","","","","","","","","","","","","","","",""
4,"-","Quy tắc chuyển nhận khẩu lệnh bắn","Hiệp","ĐC62,6","04","2","","2","","","","","","","","","","","","","","","","","","","",""
4,"+","Ôn, kiểm tra kiến thức cơ sở","Tổ CĐ","""","12","","","6","6","","","","","","","","","","","","","","","","","","",""
4,"*","Chuyên ngành","","","96","","","Ô","K","","","","","","","","","","","","","","","","","","",""
4,"+","Binh khí","K.BC","","52","","","","","","","","","","","","","","","","","","","","","","",""
4,"-","Hiểu biết chung về cối 100mm","Hiệp","d4,ĐC62,6","02","","","","","2","","","","","","","","","","","","","","","","","",""
4,"-","Cấu tạo, tác dụng thân và bộ phận phát hỏa cối 100mm","""","ĐC62,6","04","","","","","","4","","","","","","","","","","","","","","","","",""
4,"-","Cấu tạo, tác dụng giá súng, bàn đế","""","""","02","","","","","","2","","","","","","","","","","","","","","","","",""
4,"-","Cấu tạo, sử dụng bộ phận ngắm cối 100 mm","""","""","06","","","","","","","6","","","","","","","","","","","","","","","",""
4,"-","Kiểm tra hiệu chỉnh bộ phận ngắm cối 100 mm","""","""","06","","","","","","","","6","","","","","","","","","","","","","","",""
4,"-","Phương pháp duy trì khẩu đội luyện tập kiểm tra hiệu chỉnh thước góc bắn, bộ phận ngắm","""","""","04","","","","","","","","","4","","","","","","","","","","","","","",""
4,"-","Đạn, ngòi, liều cối 100mm","""","""","06","","","","","","","","","","6","","","","","","","","","","","","",""
4,"-","Phương pháp duy trì khẩu đội luyện tập chuyên ngành binh khí","""","""","06","","","","","","","","","","","2","2","2","","","","","","","","","",""
4,"-","Phương pháp bảo quản, bảo dưỡng súng cối","""","""","06","","","","","","","","","","","","","6","","","","","","","","","",""
4,"-","Ôn","""","""","06","","","","","","","","","","","","","","4","2","","","","","","","",""
4,"-","Thi","Tổ CĐ","""","04","","","","","","","","","","","","","","","4","","","","","","","",""
4,"+","Thao tác","K.BC","","44","","","","","","","","","","","","","","","T","","","","","","","",""
4,"-","Biên chế, chức trách, trang bị, đội hình khẩu đội","Hiệp","d4,ĐC62,6","10","","","","","","","","","","","","","","","","8","2","","","","","",""
4,"-","Dùng, thu pháo","""","""","08","","","","","","","","","","","","","","","","","4","4","","","","",""
4,"-","Phương pháp duy trì khẩu đội dùng, thu pháo","""","""","04","","","","","","","","","","","","","","","","","","4","","","","",""
4,"-","Ngắm, đánh dấu, nạp đạn bắn","""","""","14","","","","","","","","","","","","","","","","","","","","","6","8",""
4,"-","Phương pháp duy trì khẩu đội luyện tập ngắm đánh dấu, nạp đạn bắn","""","""","04","","","","","","","","","","","","","","","","","","","","","","","4"
5,"-","Lượng sửa khẩu đội","Hiệp","ĐC62,6","`4/12","","","","","","","","","","","","","","","","","","","","","","","4"
5,"4","Ngày(Đảng; CTVHTT; P. luật )+ Sinh hoạt đối thoại","Đơn vị","d4","02","","2","","","","","","","","","","","","","","","","","","","","",""
5,"5","Rút kinh nghiệm tháng đầu huấn luyện","CQ, KGV, ĐV","d4","02","","","","","","","","","","","","","","","","","2","","","","","",""
5,"6","Huấn luyện ngoại khoá","Đơn vị","""","10","","","","","","","","","","","","","","","","","","","","","","",""
5,"*","Đội ngũ từng người không có súng, có súng","","","10","","","","","","","","","","","","","","","","","","","","","","",""
5,"-","Ôn luyện những nội dung đã huấn luyện trong chương trình huấn luyện chiến sĩ mới","bt","Sân d4","10","","","","1","1","","","","1","1","","1","","1","1","","","","1","1","","1",""
5,"7","Học bù, học vét; Bảo quản VKTB, thể thao, tăng gia","Đơn vị","d4","08","","1","1","","","","1","1","","","","","1","","","","1","1","","","","","1"
5,"8","Chào cờ, thông báo chính trị","""","d4","08","","","","2","","","","","2","","","","","2","","","","","2","","","",""
5,"9","Tập đội ngũ","""","""","05","1","","","","","1","","","","","1","","","","","1","","","","","1","",""
5,"10","Hành quân rèn luyện (Theo KH của phòng TMHC)","""","""","","","","","","","","","","","","","","","","","","","","","","","",""
